Predicted,True
O,O
APT,HackOrg
O,O
O,O
O,O
O,O
O,O
O,O
IDTY,Idus
O,O
IDTY,Idus
O,O
IDTY,Idus
IDTY,Idus
O,O
O,O
O,O
O,Tool
O,Tool
MAL,Tool
O,O
O,O
MAL,Tool
MAL,Tool
O,O
O,O
O,O
O,O
MAL,Tool
MAL,Tool
O,O
O,O
APT,HackOrg
O,O
O,O
LOC,Area
LOC,Area
IDTY,Org
IDTY,Org
O,O
O,O
O,O
O,O
O,O
IDTY,Idus
O,O
IDTY,Idus
O,O
O,O
LOC,Area
LOC,Area
O,O
LOC,Area
O,O
O,O
LOC,Area
O,HackOrg
O,HackOrg
O,HackOrg
O,O
O,O
IDTY,Org
IDTY,Org
IDTY,Org
O,O
O,O
O,O
O,O
O,O
APT,HackOrg
O,O
O,O
IDTY,Org
IDTY,Org
IDTY,Org
O,O
O,O
O,O
O,O
O,O
TIME,Time
TIME,Time
O,O
O,O
APT,HackOrg
O,O
ACT,Way
ACT,Way
TOOL,Way
O,O
O,O
O,O
O,O
O,O
O,O
IDTY,Org
IDTY,Org
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
TIME,Time
TIME,Time
O,O
O,O
O,HackOrg
APT,HackOrg
O,O
ACT,Way
ACT,Way
TOOL,Way
O,O
O,O
O,O
O,O
O,O
O,O
IDTY,Org
IDTY,Org
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
TIME,Time
TIME,Time
O,O
O,O
APT,HackOrg
O,O
ACT,Way
ACT,Way
TOOL,Way
O,O
O,O
O,O
O,O
O,O
O,O
IDTY,Org
IDTY,Org
O,O
O,O
APT,HackOrg
O,O
ACT,OffAct
O,O
IDTY,Idus
O,O
IDTY,Org
IDTY,Org
O,O
O,O
O,O
O,O
ACT,Way
ACT,Way
TOOL,Way
O,O
O,O
O,O
O,O
O,O
O,O
LOC,Area
IDTY,Org
O,O
O,O
O,O
MAL,Tool
MAL,Tool
O,O
O,O
O,O
O,O
TOOL,O
O,O
O,O
O,O
APT,HackOrg
O,O
O,O
O,O
O,O
O,O
FILE,SamFile
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
APT,HackOrg
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
MAL,Tool
O,O
O,O
O,O
O,O
MAL,Tool
O,O
O,O
O,O
TOOL,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
APT,HackOrg
APT,HackOrg
O,O
MAL,Tool
O,O
O,O
MAL,Tool
O,O
O,O
O,O
O,O
O,O
O,HackOrg
O,O
O,Features
O,Features
O,O
O,O
O,O
O,O
O,O
O,O
MAL,Tool
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
APT,HackOrg
O,O
O,O
LOC,Area
O,O
O,O
O,O
O,O
O,O
O,O
ACT,OffAct
ACT,OffAct
O,O
O,O
IDTY,Idus
O,O
IDTY,Idus
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
LOC,Area
O,O
O,O
LOC,Area
LOC,Area
O,O
O,O
O,HackOrg
APT,HackOrg
O,O
O,O
LOC,Area
O,O
O,O
O,O
O,O
O,O
O,O
ACT,OffAct
ACT,OffAct
O,O
O,O
IDTY,Idus
O,O
IDTY,Idus
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
LOC,Area
O,O
O,O
LOC,Area
LOC,Area
O,O
O,O
O,HackOrg
O,O
LOC,Area
LOC,Area
IDTY,Idus
O,O
O,O
O,O
APT,HackOrg
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
MAL,Tool
MAL,Tool
MAL,Tool
O,O
O,O
MAL,Tool
MAL,Tool
O,O
O,O
IDTY,Idus
O,O
IDTY,Org
IDTY,Org
O,O
O,O
IDTY,Idus
IDTY,Idus
O,O
O,O
O,O
APT,HackOrg
O,O
LOC,Area
LOC,Area
IDTY,Idus
O,O
O,O
O,O
APT,HackOrg
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
MAL,Tool
MAL,Tool
MAL,Tool
O,O
O,O
MAL,Tool
MAL,Tool
O,O
O,O
IDTY,Idus
O,O
IDTY,Org
IDTY,Org
O,O
O,O
IDTY,Idus
IDTY,Idus
O,O
O,O
O,O
APT,HackOrg
O,O
O,O
O,O
TIME,Time
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
IDTY,Idus
IDTY,Idus
O,O
IDTY,Idus
O,O
IDTY,Idus
O,O
O,O
IDTY,Org
IDTY,Org
O,O
O,O
APT,HackOrg
APT,HackOrg
O,O
O,O
O,O
TIME,Time
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
IDTY,Idus
IDTY,Idus
O,O
IDTY,Idus
O,O
IDTY,Idus
O,O
O,O
IDTY,Org
IDTY,Org
O,O
O,O
TIME,Time
TIME,Time
O,O
SECTEAM,SecTeam
O,O
O,O
APT,HackOrg
O,O
O,O
O,O
O,O
MAL,Tool
MAL,Tool
MAL,Tool
O,O
O,O
O,O
O,O
O,O
TIME,Time
TIME,Time
O,O
O,O
APT,HackOrg
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
IDTY,Idus
O,O
O,O
LOC,Area
O,O
O,O
O,O
LOC,Area
IDTY,Org
IDTY,Org
O,O
O,O
TIME,Time
TIME,Time
O,O
O,O
O,HackOrg
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
IDTY,Idus
O,O
O,O
LOC,Area
O,O
O,O
O,O
LOC,Area
IDTY,Org
IDTY,Org
O,O
O,O
O,O
SECTEAM,SecTeam
O,O
O,O
APT,HackOrg
O,O
O,O
TOOL,Way
O,O
O,O
O,O
O,O
O,O
VULNAME,O
IDTY,Exp
IDTY,Exp
VULNAME,Exp
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
MAL,Tool
O,O
O,O
O,O
SECTEAM,SecTeam
O,O
O,O
APT,HackOrg
O,O
O,O
TOOL,Way
O,O
O,O
O,O
O,O
O,O
VULNAME,O
IDTY,Exp
IDTY,Exp
VULNAME,Exp
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
MAL,Tool
O,O
O,O
APT,HackOrg
O,O
TOOL,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
MAL,Tool
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
LOC,Area
APT,HackOrg
APT,HackOrg
O,O
O,O
LOC,Area
LOC,Area
IDTY,Org
IDTY,Org
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
APT,HackOrg
O,O
O,O
LOC,Area
LOC,Area
IDTY,Org
IDTY,Org
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
SECTEAM,SecTeam
O,O
O,O
O,O
O,HackOrg
O,O
LOC,Area
O,HackOrg
O,O
APT,HackOrg
O,O
O,O
O,O
O,O
ACT,Way
ACT,Way
TOOL,Way
O,O
O,O
APT,HackOrg
O,O
IDTY,Org
IDTY,Org
O,O
LOC,Area
O,O
O,O
O,O
O,O
O,O
APT,HackOrg
APT,HackOrg
O,O
O,O
O,O
APT,HackOrg
O,O
O,O
O,O
MAL,Tool
MAL,Tool
MAL,Tool
O,O
MAL,Tool
MAL,Tool
O,O
O,O
O,O
O,O
O,O
IDTY,Org
IDTY,Org
O,O
O,O
APT,HackOrg
O,O
O,O
O,O
MAL,Tool
MAL,Tool
MAL,Tool
O,O
MAL,Tool
MAL,Tool
O,O
O,O
O,O
O,O
O,O
IDTY,Org
IDTY,Org
O,O
SECTEAM,SecTeam
O,O
O,O
O,O
APT,HackOrg
APT,HackOrg
O,O
ACT,OffAct
O,O
O,O
O,O
O,O
O,O
MAL,Tool
